country/economy code,year,"reporting data level: rural, urban, or national coverage",income or consumption used in survey,"Prosperity Gap, z=25/day","Inequality, z=ybar","Mean, $/day","Mean of bottom 40%, $/day"
AGO,2000,national,consumption,9.013706207275391,2.660526752471924,7.379114151000977,2.042316675186157
AGO,2008,national,consumption,6.936017990112305,1.807184219360352,6.513767242431641,2.450552463531494
AGO,2018,national,consumption,10.70677185058594,2.348970651626587,5.484777927398682,1.573497295379639
ALB,1996,national,consumption,3.999411582946777,1.269118428230286,7.933157444000244,4.528533935546875
ALB,2002,national,consumption,4.203102588653564,1.363188743591309,8.10822868347168,4.2427659034729
ALB,2005,national,consumption,3.668382167816162,1.344971895217896,9.165974617004395,4.880928039550781
ALB,2008,national,consumption,3.278419971466064,1.316373348236084,10.03816890716553,5.506382942199707
ALB,2012,national,consumption,3.452595233917236,1.314365863800049,9.517230987548828,5.240872859954834
ALB,2014,national,consumption,3.647640943527222,1.479674220085144,10.14130973815918,4.70587682723999
ALB,2015,national,consumption,2.924033403396606,1.410012602806091,12.0553731918335,5.981408596038818
ALB,2016,national,consumption,2.884829044342041,1.447156310081482,12.54109287261963,6.009053707122803
ALB,2016,national,income,4.684634685516357,1.864885210990906,9.95213794708252,4.029719829559326
ALB,2017,national,consumption,2.877662181854248,1.428611755371094,12.41121864318848,6.061652660369873
ALB,2017,national,income,4.306958675384521,1.793606758117676,10.41109752655029,4.393543243408203
ALB,2018,national,consumption,2.567054986953735,1.367368340492249,13.31650733947754,6.985509395599365
ALB,2018,national,income,3.85994029045105,1.682508111000061,10.89724159240723,4.777819633483887
ALB,2019,national,consumption,2.424161195755005,1.333272218704224,13.749831199646,7.379409313201904
ALB,2020,national,consumption,2.387122392654419,1.332223296165466,13.95218944549561,7.548520565032959
ARE,2013,national,income,.5288901925086975,1.53274393081665,72.45095062255859,33.07196426391602
ARE,2018,national,income,.4465416967868805,1.407068967819214,78.77590179443359,45.28531265258789
ARG,1986,urban,income,1.810692310333252,2.547499895095825,35.17301177978516,13.19845485687256
ARG,1987,urban,income,1.932106494903564,2.484646320343018,32.14944839477539,11.17005252838135
ARG,1991,urban,income,2.396021127700806,2.186437845230103,22.8132152557373,7.907472610473633
ARG,1992,urban,income,2.589938879013062,2.383630752563477,23.0085620880127,7.943434715270996
ARG,1993,urban,income,2.617856979370117,2.414389610290527,23.05692863464355,7.942953109741211
ARG,1994,urban,income,2.762568950653076,2.517258882522583,22.78005599975586,7.643803596496582
ARG,1995,urban,income,3.347198486328125,2.897518396377563,21.6413688659668,6.606912612915039
ARG,1996,urban,income,3.703350305557251,3.140877485275269,21.20294570922852,6.229917049407959
ARG,1997,urban,income,3.36784815788269,2.992560386657715,22.21418762207031,6.542577266693115
ARG,1998,urban,income,3.441985130310059,2.969706535339355,21.56972122192383,6.056713581085205
ARG,1999,urban,income,3.625715970993042,2.982090950012207,20.56208419799805,5.915244102478027
ARG,2000,urban,income,3.922113180160522,3.155285358428955,20.11215209960938,5.427462577819824
ARG,2001,urban,income,4.999370098114014,3.704755783081055,18.52611351013184,4.508674621582031
ARG,2002,urban,income,5.904831409454346,3.073125839233398,13.01106452941895,3.169737577438354
ARG,2003,urban,income,3.783609390258789,2.785773754119873,18.40685272216797,5.023205757141113
ARG,2004,urban,income,3.220182180404663,2.555474281311035,19.83951759338379,5.823797225952148
ARG,2005,urban,income,2.823414325714111,2.464491367340088,21.82190704345703,6.618830680847168
ARG,2006,urban,income,2.509383916854858,2.425846338272095,24.16774940490723,7.641135692596436
ARG,2007,urban,income,2.367996454238892,2.360982418060303,24.92594909667969,7.95145845413208
ARG,2008,urban,income,2.252864599227905,2.299206256866455,25.51425170898438,8.496325492858887
ARG,2009,urban,income,2.114980936050415,2.233520984649658,26.40119361877441,9.068233489990234
ARG,2010,urban,income,1.948495984077454,2.120481729507446,27.2066478729248,9.505466461181641
ARG,2011,urban,income,1.773379325866699,2.052849531173706,28.93979835510254,10.43779468536377
ARG,2012,urban,income,1.756526112556458,2.014739751815796,28.67506217956543,10.70415687561035
ARG,2013,urban,income,1.728424787521362,1.990552544593811,28.79142570495605,10.82492065429688
ARG,2014,urban,income,1.833610773086548,1.976518392562866,26.94844627380371,9.978002548217773
ARG,2016,urban,income,1.785706400871277,2.010344266891479,28.14494323730469,10.33664608001709
ARG,2017,urban,income,1.662984728813171,1.966204643249512,29.55836868286133,11.15055370330811
ARG,2018,urban,income,1.854344010353088,1.987613439559937,26.79671859741211,10.0205545425415
ARG,2019,urban,income,1.98762059211731,2.074794054031372,26.09645652770996,9.283515930175781
ARG,2020,urban,income,2.195659875869751,2.006263732910156,22.8435173034668,8.189220428466797
ARG,2021,urban,income,1.996621012687683,1.978158473968506,24.76882743835449,9.254453659057617
ARM,1996,national,income,6.563987255096436,1.777092099189758,6.768340587615967,2.522071361541748
ARM,1999,national,consumption,7.242149353027344,1.477611660957336,5.100736141204834,2.442598104476929
ARM,2001,national,consumption,7.503755569458008,1.454785108566284,4.846856594085693,2.376063108444214
ARM,2002,national,consumption,7.022132396697998,1.428021192550659,5.084001064300537,2.552087068557739
ARM,2003,national,consumption,6.544357299804688,1.367837905883789,5.22525691986084,2.757863521575928
ARM,2004,national,consumption,5.81946325302124,1.508032560348511,6.478400230407715,3.086488008499146
ARM,2005,national,consumption,5.08384895324707,1.451617360115051,7.138377666473389,3.54570484161377
ARM,2006,national,consumption,4.769409656524658,1.314503073692322,6.890281677246094,3.802890539169312
ARM,2007,national,consumption,4.417888641357422,1.356313586235046,7.675123691558838,4.068775653839111
ARM,2008,national,consumption,4.153689384460449,1.303393602371216,7.844795227050781,4.351984024047852
ARM,2009,national,consumption,4.571024894714355,1.274832844734192,6.972357749938965,3.98707127571106
ARM,2010,national,consumption,4.595311641693115,1.308450818061829,7.118401527404785,3.942218065261841
ARM,2011,national,consumption,4.483389854431152,1.303177952766418,7.26669979095459,4.040467262268066
ARM,2012,national,consumption,4.345799922943115,1.308580040931702,7.527843475341797,4.172842979431152
ARM,2013,national,consumption,4.305412292480469,1.345173954963684,7.810946941375732,4.199784755706787
ARM,2014,national,consumption,4.239579200744629,1.358570694923401,8.011235237121582,4.227807521820068
ARM,2015,national,consumption,4.030580997467041,1.384616732597351,8.58819580078125,4.462730407714844
ARM,2016,national,consumption,3.875001907348633,1.401382327079773,9.041172027587891,4.512768268585205
ARM,2017,national,consumption,3.957560777664185,1.392497062683105,8.796435356140137,4.561314105987549
ARM,2018,national,consumption,4.040581226348877,1.421355485916138,8.794251441955566,4.473799705505371
ARM,2019,national,consumption,4.164368629455566,1.316992282867432,7.906313896179199,4.37473201751709
ARM,2020,national,consumption,4.075769424438477,1.218345999717712,7.473104476928711,4.583564281463623
ARM,2021,national,consumption,4.091404914855957,1.273106336593628,7.779151916503906,4.507298469543457
AUS,1981,national,income,1.168643593788147,1.792189240455627,38.33908843994141,19.71784210205078
AUS,1985,national,income,1.190497636795044,1.88650643825531,39.61592102050781,19.81453323364258
AUS,1989,national,income,1.124866366386414,1.831922173500061,40.71421813964844,19.98661231994629
AUS,1995,national,income,1.261492252349854,1.89178740978241,37.49106216430664,18.78661727905273
AUS,2001,national,income,1.148028373718262,1.98352038860321,43.19406127929688,21.07676696777344
AUS,2003,national,income,1.209326982498169,2.154783725738525,44.54510116577148,21.71062850952148
AUS,2004,national,income,.9946985244750977,1.928957939147949,48.4809684753418,24.14111137390137
AUS,2008,national,income,.8018112778663635,1.965952038764954,61.29721832275391,28.76004028320313
AUS,2010,national,income,.7965781092643738,1.946088790893555,61.07651901245117,29.05092620849609
AUS,2014,national,income,.7486333847045898,1.955219268798828,65.29294586181641,32.00627899169922
AUS,2016,national,income,.7368530631065369,1.880006432533264,63.78498458862305,31.26575088500977
AUS,2018,national,income,.7808042168617249,2.017936944961548,64.61084747314453,31.38323974609375
AUT,1994,national,income,.7018231749534607,1.482200264930725,52.79821014404297,27.88999366760254
AUT,1995,national,income,.6859076619148254,1.417775750160217,51.67516708374023,27.79439926147461
AUT,1996,national,income,.6894798874855042,1.367357730865479,49.57931900024414,27.1290454864502
AUT,1997,national,income,.709864616394043,1.40637743473053,49.5297737121582,27.1116771697998
AUT,1998,national,income,.7149144411087036,1.485183000564575,51.93569183349609,27.37204933166504
AUT,1999,national,income,.6590767502784729,1.409904837608337,53.48029708862305,29.05435371398926
AUT,2000,national,income,.6674735546112061,1.387699246406555,51.97581481933594,28.61745643615723
AUT,2003,national,income,.7532932162284851,1.66221559047699,55.16495895385742,30.21832084655762
AUT,2004,national,income,.621959388256073,1.44830846786499,58.21555709838867,31.71051597595215
AUT,2005,national,income,.6552049517631531,1.458200335502625,55.63909530639648,30.87981033325195
AUT,2006,national,income,.6191006898880005,1.410561680793762,56.96010971069336,31.22825813293457
AUT,2007,national,income,.7429174184799194,1.762952327728271,59.32531356811523,31.32860946655273
AUT,2008,national,income,.7176032066345215,1.731350660324097,60.31713104248047,32.10250854492188
AUT,2009,national,income,.8175150156021118,2.042564868927002,62.46260833740234,32.32671737670898
AUT,2010,national,income,.7366622090339661,1.859140992164612,63.09340286254883,33.51869201660156
AUT,2011,national,income,.7504711151123047,1.858474373817444,61.91025543212891,32.34765243530273
AUT,2012,national,income,.8273563385009766,2.002047777175903,60.49533081054688,31.88924217224121
AUT,2013,national,income,.675417959690094,1.71443784236908,63.45840454101563,33.59287261962891
AUT,2014,national,income,.6395034193992615,1.598250031471252,62.48012161254883,33.10057067871094
AUT,2015,national,income,.8492158055305481,2.114474534988403,62.24785614013672,32.78780746459961
AUT,2016,national,income,.8373323678970337,2.1793212890625,65.06739044189453,34.01753234863281
AUT,2017,national,income,.6651498079299927,1.707987666130066,64.19560241699219,34.23590469360352
AUT,2018,national,income,.7869101762771606,2.041844129562378,64.86903381347656,33.84400177001953
AUT,2019,national,income,.7735576629638672,2.047438859939575,66.16956329345703,35.02314758300781
